country_id,name
c1,Afghanistan
c2,Africa
c3,Albania
c4,Algeria
c5,Argentina
c6,Armenia
c7,Australia
c8,Austria
c9,Azerbaijan
c10,Bahrain
c11,Bangladesh
c12,Belarus
c13,Belgium
c14,Bolivia
c15,Bosnia
c16,Botswana
c17,Brasil
c18,Brazil
c19,Brunei
c20,Brunei Darussalam
c21,Bulgaria
c22,Burundi
c23,Bénin
c24,Cambodia
c25,Cameroon
c26,Cameroun
c27,Canada
c28,Chile
c29,China
c30,Colombia
c31,Costa Rica
c32,Croatia
c33,Cyprus
c34,Czech Republic
c35,Czechia
c36,Côte Divoire
c37,Denmark
c38,Djibouti
c39,Dominica
c40,Drc
c41,Ecuador
c42,Egypt
c43,Estonia
c44,Ethiopia
c45,Eu
c46,Europe
c47,European Union
c48,Example Country
c49,Fiji
c50,Finland
c51,France
c52,Georgia
c53,Germany
c54,Ghana
c55,Global
c56,Greece
c57,Guinea
c58,Guyana
c59,Herzegovina
c60,Hong Kong
c61,Hong Kong S.A.R.
c62,Hong Kong Sar
c63,Hungary
c64,Iceland
c65,India
c66,Indonesia
c67,International
c68,Iran
c69,Iraq
c70,Ireland
c71,Israel
c72,Italy
c73,Jamaica
c74,Japan
c75,Jordan
c76,Kazakhstan
c77,Kenya
c78,Kosovo
c79,Ksa
c80,Kuwait
c81,Kyrgyzstan
c82,Laos
c83,Latvia
c84,Lebanon
c85,Liban
c86,Liberia
c87,Liechtenstein
c88,Lithuania
c89,Luxembourg
c90,Macao
c91,Macau
c92,Macedonia
c93,Malawi
c94,Malaysia
c95,Mali
c96,Malta
c97,Mauritania
c98,Mauritius
c99,Mexico
c100,Moldova
c101,Mongolia
c102,Montenegro
c103,Morocco
c104,Mozambique
c105,Myanmar
c106,Namibia
c107,Nepal
c108,Netherlands
c109,New Zealand
c110,Nicaragua
c111,Niger
c112,Nigeria
c113,North Korea
c114,North Macedonia
c115,Norway
c116,Oman
c117,Pakistan
c118,Palestine
c119,Paraguay
c120,Peru
c121,Philippine
c122,Poland
c123,Portugal
c124,Prc
c125,Puerto Rico
c126,Qatar
c127,Roc Taiwan
c128,Romania
c129,Russia
c130,Rwanda
c131,Sar
c132,Saudi Arabia
c133,Senegal
c134,Serbia
c135,Sierra Leone
c136,Singapore
c137,Slovak Republic
c138,Slovakia
c139,Slovenia
c140,Somalia
c141,South Africa
c142,South Korea
c143,Spain
c144,Sri Lanka
c145,Sudan
c146,Sweden
c147,Switzerland
c148,Syria
c149,Sénégal
c150,Taiwan
c151,Tanzania
c152,Thailand
c153,The Netherlands
c154,Timor Leste
c155,Togo
c156,Tunisia
c157,Turkey
c158,Türkiye
c159,UK
c160,USA
c161,Uganda
c162,Ukraine
c163,United Arab Emirates
c164,Unknown
c165,Uruguay
c166,Uzbekistan
c167,Venezuela
c168,Viet Nam
c169,Vietnam
c170,Virtual
c171,Yemen
c172,Zambia
